,HCHO reading,Location,Current Date
1930,0.0001076937462352,"Deniyaya, Matara",2019-04-15
1931,0.0001076937462352,"Deniyaya, Matara",2019-04-16
1932,0.0001076937462352,"Deniyaya, Matara",2019-04-17
1933,0.0001076937462352,"Deniyaya, Matara",2019-04-18
1934,0.0001167011796496,"Deniyaya, Matara",2019-04-19
1935,0.0001167011796496,"Deniyaya, Matara",2019-04-20
1936,0.0001167011796496,"Deniyaya, Matara",2019-04-21
1937,0.0001167011796496,"Deniyaya, Matara",2019-04-22
1938,5.12579766773392e-05,"Deniyaya, Matara",2019-04-23
1939,0.0001783669821192,"Deniyaya, Matara",2019-04-24
1940,0.0001871501881396,"Deniyaya, Matara",2019-04-25
1941,0.0001871501881396,"Deniyaya, Matara",2019-04-26
1942,0.0001871501881396,"Deniyaya, Matara",2019-04-27
1943,0.0001871501881396,"Deniyaya, Matara",2019-04-28
1944,0.0001513876780742,"Deniyaya, Matara",2019-04-29
1945,0.0001513876780742,"Deniyaya, Matara",2019-04-30
1946,0.0001513876780742,"Deniyaya, Matara",2019-05-01
1947,5.434144155589335e-05,"Deniyaya, Matara",2019-05-02
1948,5.434144155589335e-05,"Deniyaya, Matara",2019-05-03
1949,5.434144155589335e-05,"Deniyaya, Matara",2019-05-04
1950,7.521904743490836e-05,"Deniyaya, Matara",2019-05-05
1951,6.477919130672735e-05,"Deniyaya, Matara",2019-05-06
1952,8.903688521043591e-05,"Deniyaya, Matara",2019-05-07
1953,0.0001266048084834,"Deniyaya, Matara",2019-05-08
1954,0.0001186255669854,"Deniyaya, Matara",2019-05-09
1955,8.904187787431491e-05,"Deniyaya, Matara",2019-05-10
1956,2.949114473778149e-05,"Deniyaya, Matara",2019-05-11
1957,4.16907598251222e-05,"Deniyaya, Matara",2019-05-12
1958,9.758382500903084e-05,"Deniyaya, Matara",2019-05-13
1959,9.758382500903084e-05,"Deniyaya, Matara",2019-05-14
1960,0.0001890657581933,"Deniyaya, Matara",2019-05-15
1961,0.0001197343556303,"Deniyaya, Matara",2019-05-16
1962,0.0001049880638621,"Deniyaya, Matara",2019-05-17
1963,9.658265808306529e-05,"Deniyaya, Matara",2019-05-18
1964,9.658265808306529e-05,"Deniyaya, Matara",2019-05-19
1965,1.0668271897884551e-05,"Deniyaya, Matara",2019-05-20
1967,8.360032868662833e-05,"Deniyaya, Matara",2019-05-22
1968,8.360032868662833e-05,"Deniyaya, Matara",2019-05-23
1969,8.360032868662833e-05,"Deniyaya, Matara",2019-05-24
1970,5.2382561264022686e-05,"Deniyaya, Matara",2019-05-25
1971,0.0001127015595865,"Deniyaya, Matara",2019-05-26
1972,0.000110648214343,"Deniyaya, Matara",2019-05-27
1973,0.0001113564054257,"Deniyaya, Matara",2019-05-28
1974,0.0001309619983658,"Deniyaya, Matara",2019-05-29
1975,0.0001309619983658,"Deniyaya, Matara",2019-05-30
1976,0.0001309619983658,"Deniyaya, Matara",2019-05-31
1977,7.860539060937241e-05,"Deniyaya, Matara",2019-06-01
1978,1.9475669421135317e-05,"Deniyaya, Matara",2019-06-02
1979,1.9475669421135317e-05,"Deniyaya, Matara",2019-06-03
1980,8.82573060809885e-05,"Deniyaya, Matara",2019-06-04
1981,8.82573060809885e-05,"Deniyaya, Matara",2019-06-05
1982,8.82573060809885e-05,"Deniyaya, Matara",2019-06-06
1983,8.82573060809885e-05,"Deniyaya, Matara",2019-06-07
1984,8.82573060809885e-05,"Deniyaya, Matara",2019-06-08
1985,8.82573060809885e-05,"Deniyaya, Matara",2019-06-09
1986,0.0002606536600287,"Deniyaya, Matara",2019-06-10
1987,0.0002606536600287,"Deniyaya, Matara",2019-06-11
1988,0.0001034896122957,"Deniyaya, Matara",2019-06-12
1989,0.0001034896122957,"Deniyaya, Matara",2019-06-13
1990,9.794863285570833e-05,"Deniyaya, Matara",2019-06-14
1991,9.794863285570833e-05,"Deniyaya, Matara",2019-06-15
1992,0.0001217725225117,"Deniyaya, Matara",2019-06-16
1993,-1.1336369400820557e-05,"Deniyaya, Matara",2019-06-17
1994,-1.1336369400820557e-05,"Deniyaya, Matara",2019-06-18
1995,3.626547253389472e-05,"Deniyaya, Matara",2019-06-19
1996,3.626547253389472e-05,"Deniyaya, Matara",2019-06-20
1997,3.066723729716614e-05,"Deniyaya, Matara",2019-06-21
1998,3.066723729716614e-05,"Deniyaya, Matara",2019-06-22
1999,3.066723729716614e-05,"Deniyaya, Matara",2019-06-23
2000,3.066723729716614e-05,"Deniyaya, Matara",2019-06-24
2001,3.066723729716614e-05,"Deniyaya, Matara",2019-06-25
2002,5.938476593081348e-05,"Deniyaya, Matara",2019-06-26
2003,0.0001501880620112,"Deniyaya, Matara",2019-06-27
2004,8.48560045610269e-08,"Deniyaya, Matara",2019-06-28
2005,1.8658707556202237e-05,"Deniyaya, Matara",2019-06-29
2006,8.076289701838124e-05,"Deniyaya, Matara",2019-06-30
2007,0.0001565128040965,"Deniyaya, Matara",2019-07-01
2008,7.822883224906507e-05,"Deniyaya, Matara",2019-07-02
2009,6.491148472259721e-05,"Deniyaya, Matara",2019-07-03
2010,6.491148472259721e-05,"Deniyaya, Matara",2019-07-04
2011,0.0001015658193247,"Deniyaya, Matara",2019-07-05
2012,0.0001854224783202,"Deniyaya, Matara",2019-07-06
2013,9.519535246307652e-05,"Deniyaya, Matara",2019-07-07
2014,0.000122118023414,"Deniyaya, Matara",2019-07-08
2015,3.5168823276630766e-05,"Deniyaya, Matara",2019-07-09
2016,3.5168823276630766e-05,"Deniyaya, Matara",2019-07-10
2017,9.399985364620808e-05,"Deniyaya, Matara",2019-07-11
2018,9.815205823701609e-05,"Deniyaya, Matara",2019-07-12
2019,0.000155182766871,"Deniyaya, Matara",2019-07-13
2020,3.06090383772373e-05,"Deniyaya, Matara",2019-07-14
2021,3.9205342571432974e-05,"Deniyaya, Matara",2019-07-15
2022,3.9205342571432974e-05,"Deniyaya, Matara",2019-07-16
2023,2.7530496770538245e-05,"Deniyaya, Matara",2019-07-17
2024,2.7530496770538245e-05,"Deniyaya, Matara",2019-07-18
2025,2.7530496770538245e-05,"Deniyaya, Matara",2019-07-19
2026,2.7530496770538245e-05,"Deniyaya, Matara",2019-07-20
2027,2.7530496770538245e-05,"Deniyaya, Matara",2019-07-21
2028,2.7530496770538245e-05,"Deniyaya, Matara",2019-07-22
2029,2.7530496770538245e-05,"Deniyaya, Matara",2019-07-23
2030,1.917795009592158e-06,"Deniyaya, Matara",2019-07-24
2031,-1.7439164260629638e-05,"Deniyaya, Matara",2019-07-25
2032,-1.7439164260629638e-05,"Deniyaya, Matara",2019-07-26
2033,1.6406873869175554e-05,"Deniyaya, Matara",2019-07-27
2034,-4.995843540715808e-06,"Deniyaya, Matara",2019-07-28
2035,0.0001339288013077,"Deniyaya, Matara",2019-07-29
2036,-7.03567768815656e-05,"Deniyaya, Matara",2019-07-30
2037,3.6934841833654336e-05,"Deniyaya, Matara",2019-07-31
2038,6.79387627216613e-05,"Deniyaya, Matara",2019-08-01
2039,0.0001027113576807,"Deniyaya, Matara",2019-08-02
2040,0.0001027113576807,"Deniyaya, Matara",2019-08-03
2041,7.763261304247379e-05,"Deniyaya, Matara",2019-08-04
2042,5.245533362906521e-05,"Deniyaya, Matara",2019-08-05
2043,-1.6567200397283402e-05,"Deniyaya, Matara",2019-08-06
2044,-1.6567200397283402e-05,"Deniyaya, Matara",2019-08-07
2045,-1.6567200397283402e-05,"Deniyaya, Matara",2019-08-08
2046,-1.6567200397283402e-05,"Deniyaya, Matara",2019-08-09
2047,-1.6567200397283402e-05,"Deniyaya, Matara",2019-08-10
2048,-1.6567200397283402e-05,"Deniyaya, Matara",2019-08-11
2049,-1.6567200397283402e-05,"Deniyaya, Matara",2019-08-12
2050,4.8707759228402166e-05,"Deniyaya, Matara",2019-08-13
2051,4.8707759228402166e-05,"Deniyaya, Matara",2019-08-14
2052,4.8707759228402166e-05,"Deniyaya, Matara",2019-08-15
2053,4.8707759228402166e-05,"Deniyaya, Matara",2019-08-16
2054,4.8707759228402166e-05,"Deniyaya, Matara",2019-08-17
2055,4.8707759228402166e-05,"Deniyaya, Matara",2019-08-18
2056,1.187302498785714e-05,"Deniyaya, Matara",2019-08-19
2057,0.0002373940806137,"Deniyaya, Matara",2019-08-20
2058,6.798230223314625e-05,"Deniyaya, Matara",2019-08-21
2059,6.798230223314625e-05,"Deniyaya, Matara",2019-08-22
2060,6.798230223314625e-05,"Deniyaya, Matara",2019-08-23
2061,6.798230223314625e-05,"Deniyaya, Matara",2019-08-24
2062,6.798230223314625e-05,"Deniyaya, Matara",2019-08-25
2063,6.798230223314625e-05,"Deniyaya, Matara",2019-08-26
2064,6.798230223314625e-05,"Deniyaya, Matara",2019-08-27
2065,6.798230223314625e-05,"Deniyaya, Matara",2019-08-28
2066,6.798230223314625e-05,"Deniyaya, Matara",2019-08-29
2067,0.0001003325498068,"Deniyaya, Matara",2019-08-30
2068,6.411903520786512e-05,"Deniyaya, Matara",2019-08-31
2069,6.411903520786512e-05,"Deniyaya, Matara",2019-09-01
2070,6.411903520786512e-05,"Deniyaya, Matara",2019-09-02
2071,9.78157384524139e-05,"Deniyaya, Matara",2019-09-03
2072,9.791662909121674e-05,"Deniyaya, Matara",2019-09-04
2073,7.900931868731356e-05,"Deniyaya, Matara",2019-09-05
2074,7.900931868731356e-05,"Deniyaya, Matara",2019-09-06
2075,7.900931868731356e-05,"Deniyaya, Matara",2019-09-07
2076,-1.9800126716534245e-05,"Deniyaya, Matara",2019-09-08
2077,4.326489287765812e-05,"Deniyaya, Matara",2019-09-09
2078,4.263753551153884e-05,"Deniyaya, Matara",2019-09-10
2079,8.720108094777346e-05,"Deniyaya, Matara",2019-09-11
2080,8.720108094777346e-05,"Deniyaya, Matara",2019-09-12
2081,7.855770871679348e-05,"Deniyaya, Matara",2019-09-13
2082,2.78876797254711e-05,"Deniyaya, Matara",2019-09-14
2083,2.78876797254711e-05,"Deniyaya, Matara",2019-09-15
2084,2.78876797254711e-05,"Deniyaya, Matara",2019-09-16
2085,2.78876797254711e-05,"Deniyaya, Matara",2019-09-17
2086,2.78876797254711e-05,"Deniyaya, Matara",2019-09-18
2087,2.78876797254711e-05,"Deniyaya, Matara",2019-09-19
2088,2.78876797254711e-05,"Deniyaya, Matara",2019-09-20
2089,2.78876797254711e-05,"Deniyaya, Matara",2019-09-21
2090,8.320224946993188e-05,"Deniyaya, Matara",2019-09-22
2091,8.320224946993188e-05,"Deniyaya, Matara",2019-09-23
2092,8.320224946993188e-05,"Deniyaya, Matara",2019-09-24
2093,8.320224946993188e-05,"Deniyaya, Matara",2019-09-25
2094,8.320224946993188e-05,"Deniyaya, Matara",2019-09-26
2095,8.320224946993188e-05,"Deniyaya, Matara",2019-09-27
2096,8.320224946993188e-05,"Deniyaya, Matara",2019-09-28
2097,8.320224946993188e-05,"Deniyaya, Matara",2019-09-29
2098,1.9647603158705263e-05,"Deniyaya, Matara",2019-09-30
2099,0.000117836499168,"Deniyaya, Matara",2019-10-01
2103,4.612769316736376e-06,"Deniyaya, Matara",2019-10-05
2104,4.612769316736376e-06,"Deniyaya, Matara",2019-10-06
2105,-5.005087337895441e-06,"Deniyaya, Matara",2019-10-07
2106,7.59858494096762e-05,"Deniyaya, Matara",2019-10-08
2107,7.59858494096762e-05,"Deniyaya, Matara",2019-10-09
2108,7.59858494096762e-05,"Deniyaya, Matara",2019-10-10
2109,7.59858494096762e-05,"Deniyaya, Matara",2019-10-11
2110,7.59858494096762e-05,"Deniyaya, Matara",2019-10-12
2111,7.59858494096762e-05,"Deniyaya, Matara",2019-10-13
2112,1.83682831601389e-05,"Deniyaya, Matara",2019-10-14
2113,0.0002317053602408,"Deniyaya, Matara",2019-10-15
2114,0.0002317053602408,"Deniyaya, Matara",2019-10-16
2115,0.0002317053602408,"Deniyaya, Matara",2019-10-17
2116,0.0002290918466488,"Deniyaya, Matara",2019-10-18
2117,0.0002290918466488,"Deniyaya, Matara",2019-10-19
2118,0.0002290918466488,"Deniyaya, Matara",2019-10-20
2119,0.0002290918466488,"Deniyaya, Matara",2019-10-21
2120,0.0002290918466488,"Deniyaya, Matara",2019-10-22
2121,0.0002290918466488,"Deniyaya, Matara",2019-10-23
2122,0.0002290918466488,"Deniyaya, Matara",2019-10-24
2123,0.0002290918466488,"Deniyaya, Matara",2019-10-25
2124,0.0002290918466488,"Deniyaya, Matara",2019-10-26
2125,0.0002290918466488,"Deniyaya, Matara",2019-10-27
2126,0.0002290918466488,"Deniyaya, Matara",2019-10-28
2127,0.0002290918466488,"Deniyaya, Matara",2019-10-29
2128,0.0002290918466488,"Deniyaya, Matara",2019-10-30
2129,0.0002290918466488,"Deniyaya, Matara",2019-10-31
2132,0.0002161975617461,"Deniyaya, Matara",2019-11-03
2133,0.0002161975617461,"Deniyaya, Matara",2019-11-04
2134,0.0002161975617461,"Deniyaya, Matara",2019-11-05
2135,0.0002161975617461,"Deniyaya, Matara",2019-11-06
2136,0.0001877186378125,"Deniyaya, Matara",2019-11-07
2137,7.553392172272982e-05,"Deniyaya, Matara",2019-11-08
2138,0.0002234721468994,"Deniyaya, Matara",2019-11-09
2139,0.0002234721468994,"Deniyaya, Matara",2019-11-10
2140,0.0002234721468994,"Deniyaya, Matara",2019-11-11
2141,0.0001128827506019,"Deniyaya, Matara",2019-11-12
2142,0.0001128827506019,"Deniyaya, Matara",2019-11-13
2143,5.815962265760409e-05,"Deniyaya, Matara",2019-11-14
2144,-9.728603617986664e-05,"Deniyaya, Matara",2019-11-15
2145,6.111619864362443e-05,"Deniyaya, Matara",2019-11-16
2146,0.0001113500110585,"Deniyaya, Matara",2019-11-17
2147,8.669282646079637e-05,"Deniyaya, Matara",2019-11-18
2148,6.167588874374884e-05,"Deniyaya, Matara",2019-11-19
2149,6.167588874374884e-05,"Deniyaya, Matara",2019-11-20
2150,8.329670267707673e-05,"Deniyaya, Matara",2019-11-21
2151,0.000158744442784,"Deniyaya, Matara",2019-11-22
2152,-9.125054756451936e-06,"Deniyaya, Matara",2019-11-23
2153,-9.875609976006672e-05,"Deniyaya, Matara",2019-11-24
